origin,dest,distance
-122.2936714&47.6129453,-122.2936466&47.6140203,0.0000101
-122.2936714&47.6129453,-122.2929463&47.6129369,0.0000101
-122.2925781&47.6129327,-122.2914365&47.6129189,0.268941421
-122.2950472&47.6129476,-122.2938578&47.6129475,0.000123
-122.3025222&47.6202155,-122.3025418&47.6193397,0.999999762
-122.2893323&47.612895,-122.2893308&47.6129666,0.002472623
-122.3048957&47.615292,-122.3048804&47.617125,0.002472623
-122.3050218&47.6100206,-122.3049622&47.6129225,0.817574476
-122.3049622&47.6129225,-122.3048957&47.615292,0.00071
-122.289353&47.6116374,-122.2893391&47.6124924,0.952574127
-122.302704&47.6129416,-122.3027138&47.6122269,0.999986993
-122.3027266&47.6115743,-122.302753&47.6100135,0.989013057
-122.2965565&47.6232352,-122.2964149&47.6233284,0.989013057
-122.3012657&47.620049,-122.3011522&47.6201258,0.985936373
-122.3025222&47.6202155,-122.301898&47.6202131,0.999978555
-122.3047035&47.6232034,-122.3047338&47.621393,0.002472623
-122.304734&47.6213814,-122.3047653&47.6202166,0.99929033
-122.3047035&47.6232034,-122.3035672&47.6231836,0.005220126
-122.3046722&47.6244125,-122.3047035&47.6232034,0.182425524
-122.3046939&47.6252204,-122.3046713&47.6251398,0.851952802
-122.30413419579494&47.61807574020423,-122.3041758&47.6181052,0.99883049
-122.3036255&47.6171147,-122.3037217&47.6172498,0.999986993
-122.3037295&47.6100166,-122.3036799&47.6119389,0.97702263
-122.3036021&47.6153067,-122.3035809&47.6170392,0.952574127
-122.3036544&47.612927,-122.3036021&47.6153067,0.851952802
-122.3047871&47.618497,-122.3042149&47.6181257,0.999088949
-122.3063062&47.610358,-122.3062746&47.6129209,0.989013057
-122.3062746&47.6129209,-122.3062076&47.6152895,0.991422515
-122.3062076&47.6152895,-122.3061924&47.6157964,0.320821301
-122.3088625&47.6129061,-122.3081844&47.612906,0.99929033
-122.3075347&47.6129089,-122.3064523&47.6129192,0.999997098
-122.3088074&47.6176102,-122.3088113&47.6185112,0.999954602
-122.30883268142613&47.61613858448305,-122.3088326&47.6161468,0.997527377
